start,end,weight,startInstance,endInstance,startType,endType
5813011119,328533761,1,SLP216_R,PPL201_R,SLP216,PPL201
5813011119,330268940,1,SLP216_R,LHCENT9_R,SLP216,LHCENT9
5813011119,670915068,1,SLP216_R,mAL4A_L,SLP216,mAL4
5813011119,420623873,1,SLP216_R,SLP179_b_R,SLP216,SLP179_b
5813011119,578521941,1,SLP216_R,SLP187_R,SLP216,SLP187
5813011119,421650982,2,SLP216_R,aSP-g3B_R,SLP216,aSP-g3B
5813011119,328870472,2,SLP216_R,SLP440_R,SLP216,SLP440
5813011119,329206628,2,SLP216_R,SLP015_e_R,SLP216,SLP015_e
5813011119,451663172,1,SLP216_R,SLP018_R,SLP216,SLP018
5813011119,359892669,3,SLP216_R,SLP132_R,SLP216,SLP132
5813011119,483711811,2,SLP216_R,SLP187_R,SLP216,SLP187
5813011119,297580589,16,SLP216_R,SMP548_R,SLP216,SMP548
5813011119,673776769,4,SLP216_R,SMP156_R,SLP216,SMP156
5813011119,298258611,4,SLP216_R,SLP388_R,SLP216,SLP388
5813011119,298254384,12,SLP216_R,SLP376_R,SLP216,SLP376
5813011119,485430336,10,SLP216_R,aSP-g3B_R,SLP216,aSP-g3B
5813011119,5812980529,6,SLP216_R,SLP212_R,SLP216,SLP212
5813011119,515450389,2,SLP216_R,SLP243_R,SLP216,SLP243
5813011119,541347811,28,SLP216_R,SMP029_R,SLP216,SMP029
5813011119,604070433,34,SLP216_R,SMP029_R,SLP216,SMP029
5813011119,575197482,2,SLP216_R,SMP389_R,SLP216,SMP389
5813011119,550655668,23,SLP216_R,oviDNa_R,SLP216,oviDNa
5813011119,360591860,62,SLP216_R,SLP279_R,SLP216,SLP279
5813011119,452689494,130,SLP216_R,SMP550_R,SLP216,SMP550
735073668,297580589,1,mAL3A_L,SMP548_R,mAL3A,SMP548
735073668,452689494,1,mAL3A_L,SMP550_R,mAL3A,SMP550
735073668,5812980516,2,mAL3A_L,mAL4A_L,mAL3A,mAL4
